sqft_living,sqft_lot,floors,view,sqft_above,sqft_basement,price,yr_built
1890,15770,2,0,1890,0,389999,1968
2950,9025,1,2,1780,1170,630000,1975
2160,9528,2,0,2160,0,360000,1992
3280,11060,2,0,2270,1010,580000,1986
1970,4166,2,3,1270,700,550000,1929
3360,22111,2,0,3360,0,879000,1994
1320,8959,1,0,1320,0,265000,1993
2650,7286,2,0,2650,0,446500,1990
2030,8880,1,0,1330,700,404000,1963
1590,11914,1,2,1090,500,267500,1957
4550,18641,1,4,2600,1950,3.08E+06,2002
2440,7632,2,0,2440,0,335000,1998
1940,9000,1,0,970,970,576000,1948
2040,3810,2,0,2040,0,208633,2006
2200,8750,1,0,1120,1080,315000,1964
1920,3300,1,0,960,960,725000,1913
1800,7750,1,0,1400,400,550000,1965
2180,7297,2,0,2180,0,610750,1984
1010,5000,1.5,0,1010,0,550700,1908
3320,10574,2,0,2220,1100,665000,1960
2370,4000,1.5,2,1980,390,834000,1928
1660,78408,1.5,0,1660,0,201000,1915
3650,9050,2,4,3370,280,2.38E+06,1921
4290,12103,1,3,2690,1600,1.38E+06,1997
4290,12103,1,3,2690,1600,1.40E+06,1997
1950,7700,1,0,1350,600,305000,1979
2590,14052,1,0,1720,870,487000,1948
1930,64904,1,0,1930,0,390000,1988
1470,3864,1,0,1170,300,548000,1916
800,8775,1,0,800,0,268750,1943
3150,7119,2,0,3150,0,819900,2013
2030,16200,2,0,2030,0,520000,1984
1450,11204,1,0,1450,0,230000,2003
1510,10248,1,0,1510,0,240000,1969
1240,12092,1,0,960,280,232000,1922
1240,12092,1,0,960,280,240500,1922
3030,45004,2,0,3030,0,274975,1987
2050,4400,1.5,0,2050,0,740000,1922
1000,7636,1,0,1000,0,186375,1952
2370,10289,1,0,1590,780,790000,1977
2800,6750,2,0,1890,910,880000,1951
2240,11180,2,0,2240,0,279000,1955
1810,10530,1,2,1810,0,295000,1991
1070,5000,1,0,1070,0,640000,1924
2490,9525,2,0,2490,0,940000,1968
1960,5238,2,0,1960,0,260000,2003
2930,5569,1,0,1860,1070,559900,2004
1510,3500,1.5,0,1510,0,791500,1911
1420,8250,1,0,1420,0,265000,1954
1740,11547,1,0,1740,0,245000,1954
2560,43995,2,0,2560,0,485000,1962
3040,8414,2,0,2420,620,684000,2010
2500,6840,1,0,1300,1200,425000,1957
1275,20000,1,0,1275,0,309600,1991
2580,5823,2,0,2580,0,552250,2002
1000,7134,1,0,1000,0,165000,1943
1000,7134,1,0,1000,0,239900,1943
1070,32633,1,0,1070,0,320000,1930
1390,13464,1,0,1390,0,206600,1987
2500,7690,1,0,1250,1250,387000,1973
560,12120,1,0,560,0,299000,1967
2270,10460,2,0,2270,0,855000,1965
1900,14400,1,0,1300,600,315000,1954
990,3120,1,2,790,200,437500,1907
1550,19800,1,0,1050,500,252000,1969
2200,7475,1,0,1100,1100,375000,1955
1910,4862,2,0,1910,0,300000,2005
1750,9600,1.5,0,1750,0,420000,1954
1330,77972,1,0,1330,0,900000,1928
2440,5750,2,2,1980,460,679900,2000
1640,29970,2,0,1640,0,463000,1992
2760,11340,2,0,2760,0,380000,1978
1820,7912,2,0,1820,0,329500,1994
2110,5608,1,0,1340,770,604950,2013
3040,9570,1,2,1640,1400,795000,1966
1840,40438,2,0,1840,0,465000,1994
2990,10400,2,0,2990,0,673000,2002
3520,15420,2,0,3520,0,810000,1991
2440,69415,1,0,1910,530,785000,1989
2090,7500,1,0,1370,720,338000,1986
1430,7222,2,0,1430,0,280000,1993
2180,10754,1,0,1100,1080,315000,1954
2180,10754,1,0,1100,1080,530000,1954
3450,9914,2,0,3450,0,380000,2004
1450,7562,2,0,1450,0,297000,1994
3230,7331,2,0,3230,0,730000,2004
1640,13500,1,0,1110,530,450000,1940
1590,7750,1,0,1060,530,275000,1997
2020,2849,2,0,2020,0,595000,1960
1300,3348,1.5,0,1300,0,435000,1904
1380,209959,1,0,1380,0,270000,1954
4040,14338,2,0,3030,1010,950000,1986
2130,5337,2,0,2130,0,389000,2001
2550,7800,1,0,1580,970,560000,1968
4800,14984,2,2,3480,1320,1.35E+06,1998
2510,11585,2,0,2510,0,799000,1969
1410,9600,1,0,1410,0,365500,1983
1650,7352,1,0,1160,490,252350,1979
2120,13780,2,0,2120,0,403950,1993
2040,10726,1,0,1380,660,385000,1954
1550,7620,1.5,0,1550,0,345000,1957
1980,3128,2,0,1980,0,490000,1979
1600,26977,2,0,1600,0,330000,2005
3300,12090,2,0,3300,0,927000,1953
3840,16619,2,1,3840,0,1.12E+06,1983
1220,10000,1,0,1220,0,330000,1950
2720,8800,1,0,1500,1220,530000,1958
1940,25600,1,0,1940,0,365000,1962
2160,3000,1.5,0,1260,900,378750,1909
1530,8750,1.5,0,1530,0,269900,1968
1710,2096,2,0,1290,420,557000,2008
3730,16980,1,0,2150,1580,360000,1974
940,5000,1,0,940,0,352000,1937
1750,22357,2,0,1750,0,437000,1994
1820,6753,2,0,1820,0,322500,1994
1510,2000,2,0,1330,180,650000,2001
1290,1213,3,0,1290,0,450000,2001
1570,5250,1,0,1570,0,278500,1998
1930,6957,2,0,1930,0,364950,1995
2840,40139,1,4,2840,0,840000,1986
1550,8134,2,0,1550,0,268000,1991
833,143947,1,0,833,0,517534,2006
2990,32239,2,0,2990,0,632925,1978
2000,7251,2,0,2000,0,577500,1995
2390,7480,1.5,2,2390,0,339000,1920
2910,37461,1,0,1530,1380,570000,1967
2085,174240,1,0,1610,475,563500,1964
2200,9351,1,0,1290,910,423000,1962
1860,5028,2,0,1860,0,355000,2012
6070,171626,2,0,6070,0,1.55E+06,1999
950,3960,1,0,950,0,482000,1941
1600,9135,1,0,1600,0,625000,1955
2250,11632,2,0,2250,0,538000,1988
2280,10255,2,0,2280,0,380000,1985
940,5120,1,0,940,0,375000,1909
1530,8500,1,0,1030,500,245000,1996
2190,27260,1,0,2190,0,310000,1947
2350,15021,1,0,1770,580,1.30E+06,1976
1440,7680,1,0,1200,240,397000,1971
2200,4052,2,0,2200,0,365000,2005
2290,8250,2,0,2290,0,328500,1990
4040,19700,2,0,4040,0,988000,1987
2610,3277,1.5,0,1920,690,1.00E+06,1922
1490,2138,2,0,1490,0,237000,2005
2450,5280,2,0,2450,0,525000,2003
1710,9627,1,0,1440,270,749000,1976
4870,11800,2,0,3470,1400,722500,1983
3130,8750,2,0,3130,0,843000,1991
1270,1372,3,0,1270,0,438000,2000
2120,10875,1,2,1540,580,578000,1977
1670,8230,1,0,1670,0,227950,1954
2070,11576,2,0,2070,0,196000,1974
1420,5332,1,0,1070,350,641000,1953
1250,219978,1,0,1250,0,350000,1980
940,7980,1,0,940,0,205000,1960
1920,9102,1,0,1920,0,400000,1968
3545,9816,1,0,2610,935,1.03E+06,2005
1260,5460,1,0,1260,0,505000,1972
2340,7200,1,0,1300,1040,475000,1975
2590,9263,1,0,1440,1150,520000,1977
3970,24920,2,2,3260,710,1.45E+06,1977
1220,9732,1,0,1220,0,333500,1965
1400,10403,1,0,1400,0,232000,1976
2360,16117,1,0,1710,650,691100,1983
1870,9897,1,0,1870,0,811000,1960
2830,5802,2,0,2830,0,551000,2001
2260,3640,2,0,2260,0,496500,1994
1970,20978,2,3,1770,200,705000,1980
3140,9225,1,2,1770,1370,578000,1966
1240,8659,1,0,1240,0,255000,1986
3450,7832,2,0,3450,0,1.05E+06,2007
2570,8491,2,0,2570,0,348000,1989
1510,3413,2,0,1510,0,230000,1985
2390,11250,2,0,2390,0,359500,1988
980,7000,1,0,980,0,330000,1953
430,5050,1,0,430,0,80000,1912
1480,6360,1,0,1480,0,465000,1954
1850,7324,2,0,1850,0,325000,1997
2270,28025,1,0,1920,350,340500,1947
1810,5192,2,0,1810,0,342500,1993
1610,17600,2,0,1610,0,290900,1930
3840,6161,2,0,3840,0,868700,2000
4110,8400,2,1,3130,980,1.20E+06,1928
4190,10259,2,0,3150,1040,1.15E+06,2000
3390,6298,2,0,3390,0,859900,2011
1890,3006,2,0,1890,0,520000,2003
1610,2527,2,2,1080,530,460000,2005
1050,4590,1,0,850,200,438924,1949
630,6550,1,0,630,0,315000,1918
2910,10650,1,2,1780,1130,590000,1975
1700,8640,1,0,850,850,378500,1955
1950,8130,2,0,1950,0,328500,1990
2990,9773,2,0,2990,0,849950,1973
1350,6000,1,2,900,450,525000,1950
4860,181319,2.5,0,4860,0,1.39E+06,1993
2160,7725,1,0,1460,700,295000,1978
4860,11793,2,0,3860,1000,1.07E+06,1998
890,5000,1,0,890,0,207950,1917
2810,7302,2,0,2810,0,699900,2002
3400,9500,2,1,3400,0,1.28E+06,1977
1580,7350,1,0,960,620,452000,1963
1680,5036,1,1,1680,0,370000,1987
1300,11230,1,0,1300,0,232000,1968
2820,14062,2,0,2380,440,669950,1960
1510,6710,1,0,1070,440,397500,1972
1230,1391,2,0,870,360,490000,2004
2110,4140,2,0,1710,400,725000,1925
3080,19635,1,2,1610,1470,299000,1958
1490,5750,1.5,0,1190,300,625000,1900
2120,4500,2,0,2120,0,437500,2000
3180,5438,2,0,3180,0,650000,2003
1490,3825,1,0,860,630,475000,1929
1930,11947,1,0,1930,0,342000,1966
2770,7800,2,0,2770,0,1.20E+06,1999
1670,11610,1,0,1670,0,280000,1963
1330,7200,1,0,1330,0,240000,1993
1210,3328,1.5,0,1210,0,529000,1924
1190,5100,1,0,1030,160,442000,1941
1540,6872,1,0,820,720,615000,1946
4030,10800,2,0,4030,0,1.49E+06,2006
2430,7559,1,0,1580,850,585000,1981
2600,7787,2,0,2600,0,480000,2005
4410,57063,2,0,4410,0,1.10E+06,1990
1330,8184,1.5,0,1330,0,290000,1949
1900,5000,1,0,950,950,615000,1951
1100,7680,1,0,1100,0,300000,1950
1980,39150,1.5,0,1580,400,308000,1932
2400,7745,2,0,2400,0,750000,2001
4760,8036,2.5,0,3390,1370,2.25E+06,1916
3180,194278,2,0,3180,0,890000,2005
1190,7560,1,0,1190,0,288000,1958
630,6000,1,0,630,0,190000,1943
2530,5105,1,0,1520,1010,515000,2005
1690,11054,1,0,1690,0,235000,1930
940,5000,1,0,940,0,275000,1951
1240,9119,1,0,1240,0,727500,1952
3040,6587,2,0,3040,0,650000,2003
6050,230652,2,3,6050,0,1.60E+06,2001
1590,7085,1.5,0,1590,0,365000,1944
2500,36947,1,0,2500,0,662000,1984
1780,7848,1,0,1320,460,270500,1978
1360,1898,2,0,1360,0,200000,1978
4740,76230,2,0,4740,0,970000,1987
1010,9600,1,0,1010,0,160000,1962
1040,7405,1,0,1040,0,204000,1971
1610,6655,2,0,1610,0,358000,1985
1570,8268,1,0,1570,0,452000,1979
1510,4000,1,0,1010,500,595000,1900
1360,6082,1,0,1360,0,249000,1994
1970,5106,2,0,1970,0,346900,1999
5403,24069,2,4,5403,0,2.13E+06,1976
1560,4350,2,0,1560,0,280000,2003
2320,12000,1,0,2270,50,318888,1973
2120,40518,1,0,2120,0,530000,1967
2120,18500,2,0,2120,0,375000,1983
3350,29242,2,0,3350,0,910000,1988
2380,9614,2,0,2380,0,782000,1991
1070,649,2,0,720,350,259950,2008
2300,18360,1,0,1560,740,315000,1979
1320,8865,1,0,1320,0,215000,1943
2180,10221,1,2,1140,1040,705000,1946
4380,6320,2,3,3580,800,1.45E+06,1952
1790,9813,2,0,1790,0,451000,1949
750,8125,1,0,750,0,261000,1943
1300,8280,1,0,1300,0,396000,1956
2990,29170,2,3,2990,0,725000,1999
4640,15235,2,1,2860,1780,1.95E+06,1965
1400,7242,1.5,0,1400,0,238000,1959
2750,9563,2,0,2750,0,750000,1973
2050,10271,2,0,2050,0,331500,1998
2230,108900,1,0,1410,820,460000,1978
2340,217014,1,0,2340,0,404950,1982
2870,5163,2,0,2870,0,880000,2014
4120,22370,2,0,4120,0,863000,1997
2080,9162,1,0,1370,710,638700,1960
1840,5680,2,0,1840,0,435000,2008
1180,5350,1.5,0,1180,0,260000,1959
2160,4000,1.5,0,1530,630,671500,1927
1180,3400,1.5,0,1180,0,610000,1907
1160,15029,1,0,870,290,405000,1937
1830,5612,2,0,1830,0,338900,2003
3200,7708,2,0,3200,0,720000,2004
2560,5445,1.5,0,1760,800,442000,1927
2550,5040,1.5,0,2550,0,650000,1902
1330,9917,1,0,1040,290,263500,1981
1220,75794,1,0,1220,0,300000,1963
1805,3402,2,0,1805,0,266000,2009
6050,84942,2.5,2,4150,1900,930000,2009
2320,5493,2,0,2320,0,530000,2004
1384,8960,1,0,1384,0,180000,1965
2720,6439,2,0,2720,0,619000,2005
1820,10608,1,0,1820,0,264000,1962
2130,4920,1.5,4,1530,600,730000,1941
2060,10070,2,0,2060,0,439000,1975
1420,7500,1,0,1080,340,268500,1981
1510,15744,1,0,1510,0,330000,1985
2160,4000,1.5,0,1960,200,640000,1903
3180,12600,2,0,3180,0,900000,1978
2110,13300,2,0,2110,0,370000,1985
2060,2900,1.5,0,1330,730,685000,1931
1830,217800,1,0,1010,820,505000,1981
1820,32666,1,0,1820,0,265000,1966
1610,2937,2,0,1610,0,290000,2006
1780,3600,2,0,1780,0,296000,2006
1840,9611,2,0,1840,0,360000,1996
1460,10584,1,0,990,470,240500,1997
1400,2958,2,0,1400,0,372500,2007
3370,14402,2,2,3370,0,595000,2004
3590,8249,2,0,3590,0,515000,1997
3200,15367,2,0,3200,0,1.22E+06,1962
1670,6460,1,0,1670,0,507000,2004
2420,31465,1,0,2420,0,399950,1984
1430,10816,2,0,1430,0,185000,1994
1440,7070,1,0,1440,0,460000,1980
1450,4789,2,0,1450,0,435500,1985
3550,13938,1,0,2100,1450,469000,1966
1270,1175,2,0,1110,160,531000,2000
940,6804,1,0,940,0,443500,1949
1670,6824,1,0,1300,370,223000,1990
3100,15842,2,0,2400,700,590000,1996
1100,1760,3,0,1100,0,340000,1997
1870,3388,1,0,1230,640,650000,1925
1930,5080,2,0,1930,0,533600,1990
2540,4694,2,0,2540,0,695000,2005
1280,7524,1.5,0,1280,0,242000,1988
1820,8814,1,0,1280,540,425000,1967
1490,9414,2,0,1490,0,525000,1981
1880,5502,2,0,1880,0,485000,1988
1250,9775,1,0,1250,0,175000,1971
1440,7210,1,0,1440,0,210000,1983
1920,7415,2,0,1920,0,260000,1989
2060,5750,1,0,1330,730,577000,1976
1210,10588,1,0,1210,0,200000,1958
1760,5000,1,0,940,820,605000,1927
990,6750,1,0,990,0,325000,1947
960,6400,1,0,820,140,289500,1944
1660,1458,3,0,1660,0,559950,2014
1900,9375,1,1,1330,570,1.04E+06,1941
1270,2790,1,0,990,280,543500,1970
3250,34293,2,0,3250,0,480000,1983
960,9633,1,0,960,0,218000,1982
1330,6000,1,0,960,370,565000,1914
2080,7700,1,0,1600,480,426700,1968
2690,11575,1,3,2130,560,650000,1957
890,3060,1,0,770,120,542000,1910
1070,8000,1,0,1070,0,415000,1977
1200,8316,1,0,1200,0,214000,1953
1360,8910,2,0,1360,0,245000,1949
2050,13303,1,0,2050,0,314500,1993
3000,5750,2,0,2000,1000,1.12E+06,1924
1300,3850,1,0,800,500,378000,1963
2250,9091,1,0,1340,910,305000,1982
3740,6750,1,0,1980,1760,595000,1978
1660,1091,3,1,1530,130,729500,2015
2360,6699,2,0,2360,0,430000,2003
1760,6500,1,0,1150,610,240000,1987
1680,6200,1.5,0,1680,0,545000,1916
1320,2500,1,0,870,450,530000,1918
870,26326,1,0,870,0,157000,1939
1260,7645,1.5,0,1260,0,425000,1925
